"age","cor_pearson","cor_spearman","n_pairs","model","zygosity"
20,0.275003453135353,0.302531973237327,42161,"true_dgp","MZ"
22,0.282861527773598,0.307414705832739,41414,"true_dgp","MZ"
24,0.290867090962557,0.312786517773006,40670,"true_dgp","MZ"
26,0.30090907309446,0.319507569207459,39932,"true_dgp","MZ"
28,0.308825329197662,0.324339250465542,39132,"true_dgp","MZ"
30,0.317323749863396,0.329904087234732,38368,"true_dgp","MZ"
32,0.323763522862023,0.333718330217823,37573,"true_dgp","MZ"
34,0.331187162173318,0.338177173707366,36749,"true_dgp","MZ"
36,0.338523435382477,0.342608085310839,35948,"true_dgp","MZ"
38,0.342922277331161,0.344511397220126,35109,"true_dgp","MZ"
40,0.348988886461063,0.34801997365765,34268,"true_dgp","MZ"
42,0.356465265470311,0.352610820681619,33402,"true_dgp","MZ"
44,0.36231091772038,0.35598858848434,32518,"true_dgp","MZ"
46,0.367442560949084,0.358867319244308,31626,"true_dgp","MZ"
48,0.373118644103504,0.361926451653301,30662,"true_dgp","MZ"
50,0.377619529815916,0.36432356631208,29683,"true_dgp","MZ"
52,0.380823565396576,0.365735553746507,28563,"true_dgp","MZ"
54,0.381518079304477,0.365001777146057,27519,"true_dgp","MZ"
56,0.385150725437157,0.366994749064782,26357,"true_dgp","MZ"
58,0.385985088805251,0.366440535084224,25154,"true_dgp","MZ"
60,0.387071818627416,0.366221376141864,23926,"true_dgp","MZ"
62,0.387557661530092,0.365744724962266,22686,"true_dgp","MZ"
64,0.384714694740107,0.362018233453465,21436,"true_dgp","MZ"
66,0.382758428463489,0.358668510070587,20119,"true_dgp","MZ"
68,0.383465601443076,0.358534353782835,18764,"true_dgp","MZ"
70,0.378850984042866,0.353105305891694,17402,"true_dgp","MZ"
72,0.376432550977144,0.350054393040255,16106,"true_dgp","MZ"
74,0.374277681077788,0.347757989124499,14710,"true_dgp","MZ"
76,0.366325813126327,0.339155340280498,13429,"true_dgp","MZ"
78,0.360857794987149,0.333679401029123,12171,"true_dgp","MZ"
80,0.353630556037716,0.325827620998495,10993,"true_dgp","MZ"
82,0.353503305320417,0.327908998880488,9788,"true_dgp","MZ"
84,0.346614876444006,0.321264975959883,8660,"true_dgp","MZ"
86,0.33657602645039,0.312391768463132,7645,"true_dgp","MZ"
88,0.3332032484663,0.3104048094139,6663,"true_dgp","MZ"
90,0.315325283466808,0.295026812182987,5730,"true_dgp","MZ"
20,0.128226710158853,0.138701570725073,42178,"true_dgp","DZ"
22,0.133649682938456,0.14234607129981,41452,"true_dgp","DZ"
24,0.137015787224222,0.144484054440659,40649,"true_dgp","DZ"
26,0.139492780044173,0.145494004615621,39856,"true_dgp","DZ"
28,0.14417176139048,0.14838540118792,39086,"true_dgp","DZ"
30,0.148163563629199,0.150470877837144,38319,"true_dgp","DZ"
32,0.151887035046527,0.152582718238615,37536,"true_dgp","DZ"
34,0.155299752275695,0.154746435679593,36810,"true_dgp","DZ"
36,0.158853919594765,0.156802146890139,35970,"true_dgp","DZ"
38,0.160657952373303,0.157285980182227,35074,"true_dgp","DZ"
40,0.162891846262676,0.158417835186993,34165,"true_dgp","DZ"
42,0.167973469456465,0.161781144129908,33273,"true_dgp","DZ"
44,0.1673052572872,0.160107637061565,32337,"true_dgp","DZ"
46,0.168038063890606,0.160045179486157,31391,"true_dgp","DZ"
48,0.17045994597262,0.161412556033555,30414,"true_dgp","DZ"
50,0.171962709097996,0.16185822979552,29333,"true_dgp","DZ"
52,0.172732795486975,0.161449227171752,28180,"true_dgp","DZ"
54,0.17166559205354,0.159760846564816,27046,"true_dgp","DZ"
56,0.168393934377741,0.155722968262388,25775,"true_dgp","DZ"
58,0.171180389297711,0.158266921903653,24508,"true_dgp","DZ"
60,0.17214896018825,0.158936928528521,23218,"true_dgp","DZ"
62,0.174492715831739,0.160413567613734,21934,"true_dgp","DZ"
64,0.176030917600922,0.161638736288679,20533,"true_dgp","DZ"
66,0.1741607877324,0.160044351809769,19068,"true_dgp","DZ"
68,0.169491056825623,0.155287276980657,17651,"true_dgp","DZ"
70,0.16527925391101,0.151233828892662,16207,"true_dgp","DZ"
72,0.162180146318255,0.148385388505416,14772,"true_dgp","DZ"
74,0.158099672421439,0.143743763312964,13310,"true_dgp","DZ"
76,0.144839079239313,0.129465358531654,11926,"true_dgp","DZ"
78,0.144719318733953,0.12950805093522,10638,"true_dgp","DZ"
80,0.13929203675079,0.123259313791943,9357,"true_dgp","DZ"
82,0.13995802792826,0.125112474096544,8136,"true_dgp","DZ"
84,0.14246617179252,0.128895577828037,7016,"true_dgp","DZ"
86,0.145083672337353,0.133997471397634,6005,"true_dgp","DZ"
88,0.137441666231448,0.128788358688629,5068,"true_dgp","DZ"
90,0.149958327636796,0.143024409489899,4248,"true_dgp","DZ"
20,0.273967496275859,0.292870777629464,41971,"misspecified","MZ"
22,0.284792274214595,0.300627627680566,41156,"misspecified","MZ"
24,0.295742411244049,0.308610992240942,40348,"misspecified","MZ"
26,0.306489304444472,0.316088482759568,39509,"misspecified","MZ"
28,0.316656182488553,0.323359072548943,38676,"misspecified","MZ"
30,0.325385714192905,0.329479017321176,37858,"misspecified","MZ"
32,0.334767331506834,0.33623114126682,36993,"misspecified","MZ"
34,0.343704914544278,0.342615077880066,36138,"misspecified","MZ"
36,0.354335958708403,0.350516000821834,35254,"misspecified","MZ"
38,0.362379244507873,0.356261677346955,34365,"misspecified","MZ"
40,0.3675616305356,0.359465398560485,33403,"misspecified","MZ"
42,0.37222079986935,0.362356820100164,32418,"misspecified","MZ"
44,0.380547651220261,0.368185749271151,31428,"misspecified","MZ"
46,0.387940258705636,0.373496979891211,30417,"misspecified","MZ"
48,0.390900848889162,0.374829975768406,29314,"misspecified","MZ"
50,0.395893652749934,0.37819714373065,28176,"misspecified","MZ"
52,0.398152635005814,0.379316846801885,27049,"misspecified","MZ"
54,0.402405741070234,0.381895658425814,25866,"misspecified","MZ"
56,0.403531366534056,0.381578962968888,24638,"misspecified","MZ"
58,0.406638746695548,0.383369407709939,23472,"misspecified","MZ"
60,0.408801120424276,0.383962531117261,22290,"misspecified","MZ"
62,0.408302257676011,0.381831219648532,21006,"misspecified","MZ"
64,0.409838688846304,0.382184422282998,19768,"misspecified","MZ"
66,0.412189299730287,0.384163978147964,18570,"misspecified","MZ"
68,0.417040446023401,0.388776464905388,17310,"misspecified","MZ"
70,0.413287417412503,0.384095114242097,16047,"misspecified","MZ"
72,0.411026396019651,0.382612453167264,14830,"misspecified","MZ"
74,0.405758928117218,0.377299133330518,13635,"misspecified","MZ"
76,0.404243420235696,0.376448046440519,12471,"misspecified","MZ"
78,0.397803373411004,0.370236125037436,11323,"misspecified","MZ"
80,0.4020694856786,0.377669061937626,10198,"misspecified","MZ"
82,0.395107592977385,0.374598313324344,9083,"misspecified","MZ"
84,0.379718469256346,0.360772387964301,8100,"misspecified","MZ"
86,0.369739659193864,0.353655234135966,7162,"misspecified","MZ"
88,0.358333353365967,0.345874149163866,6308,"misspecified","MZ"
90,0.349875740736868,0.341850908847571,5478,"misspecified","MZ"
20,0.134872189370656,0.145335130738673,41917,"misspecified","DZ"
22,0.139064267882163,0.14857372730801,41107,"misspecified","DZ"
24,0.146401340068134,0.154094269555708,40271,"misspecified","DZ"
26,0.152724644417441,0.158577692479148,39462,"misspecified","DZ"
28,0.158016949123587,0.162326171901352,38633,"misspecified","DZ"
30,0.165211777963471,0.16780061168625,37737,"misspecified","DZ"
32,0.167887403507545,0.169355885020861,36892,"misspecified","DZ"
34,0.174675495163181,0.17436350989092,35966,"misspecified","DZ"
36,0.17740846701125,0.175703609458519,35054,"misspecified","DZ"
38,0.180824061733707,0.177992448049299,34050,"misspecified","DZ"
40,0.18466347198829,0.180718398701575,33123,"misspecified","DZ"
42,0.184762976336716,0.180178466437021,32169,"misspecified","DZ"
44,0.188403254971641,0.182760543489268,31105,"misspecified","DZ"
46,0.185501309164698,0.179658919465213,30025,"misspecified","DZ"
48,0.186675552741136,0.180196761255405,28872,"misspecified","DZ"
50,0.186615183343871,0.179523317845212,27744,"misspecified","DZ"
52,0.188668070041029,0.181073639762076,26546,"misspecified","DZ"
54,0.186133569974417,0.177752708156677,25276,"misspecified","DZ"
56,0.184882189129182,0.176020213496022,23988,"misspecified","DZ"
58,0.184308391640322,0.175347010180681,22697,"misspecified","DZ"
60,0.180341531908979,0.170948079820036,21357,"misspecified","DZ"
62,0.170864004527798,0.161637171999295,20071,"misspecified","DZ"
64,0.16436456765977,0.154710326870965,18821,"misspecified","DZ"
66,0.16375241232922,0.153983749166038,17493,"misspecified","DZ"
68,0.154690898242763,0.145055869086857,16091,"misspecified","DZ"
70,0.157612899474638,0.148680911548564,14759,"misspecified","DZ"
72,0.15485663297714,0.146593529712355,13543,"misspecified","DZ"
74,0.152047228114167,0.143775744672141,12282,"misspecified","DZ"
76,0.15107646417661,0.143736376152047,11069,"misspecified","DZ"
78,0.142233900314081,0.135932784207468,9872,"misspecified","DZ"
80,0.132788900441139,0.126076908230518,8678,"misspecified","DZ"
82,0.129715410497769,0.124439868520136,7656,"misspecified","DZ"
84,0.127147076337735,0.121712941187798,6643,"misspecified","DZ"
86,0.122604930320391,0.117034056887188,5740,"misspecified","DZ"
88,0.105689634687449,0.0999743215847319,4963,"misspecified","DZ"
90,0.105235857978103,0.0988699558812683,4249,"misspecified","DZ"
20,0.262796297243535,0.291535182449723,42173,"recovery","MZ"
22,0.269707478776106,0.295870952250243,41425,"recovery","MZ"
24,0.276035957621491,0.299650694246554,40651,"recovery","MZ"
26,0.285207511012667,0.305518711862297,39908,"recovery","MZ"
28,0.295268099568672,0.312275030178574,39201,"recovery","MZ"
30,0.303155928026972,0.317159219625998,38426,"recovery","MZ"
32,0.310993767378059,0.322015362861285,37692,"recovery","MZ"
34,0.318345333567105,0.326442169959042,36934,"recovery","MZ"
36,0.326437040325526,0.331638937367585,36144,"recovery","MZ"
38,0.334231458137063,0.336715512952096,35336,"recovery","MZ"
40,0.343379284173357,0.342732535057462,34490,"recovery","MZ"
42,0.350641672025909,0.347122812045211,33622,"recovery","MZ"
44,0.356960347535119,0.351059382937687,32742,"recovery","MZ"
46,0.362928011424027,0.354529392417281,31806,"recovery","MZ"
48,0.365979461306133,0.355449060589082,30812,"recovery","MZ"
50,0.369471007643065,0.35673057869731,29840,"recovery","MZ"
52,0.373635882930535,0.358524553506526,28777,"recovery","MZ"
54,0.375329552165416,0.358241584624223,27682,"recovery","MZ"
56,0.379092436300995,0.360223399378851,26537,"recovery","MZ"
58,0.377945609368981,0.357337291071244,25373,"recovery","MZ"
60,0.382581693944882,0.36076278374618,24136,"recovery","MZ"
62,0.385460276082514,0.362301854680608,22890,"recovery","MZ"
64,0.385308529959188,0.36085334903713,21612,"recovery","MZ"
66,0.384021642285086,0.358701496358807,20276,"recovery","MZ"
68,0.380695993047833,0.354546002241352,18986,"recovery","MZ"
70,0.37943932844954,0.35322847437984,17621,"recovery","MZ"
72,0.375541915149963,0.348053190264704,16288,"recovery","MZ"
74,0.370429250098639,0.342190953881677,14919,"recovery","MZ"
76,0.367934928912511,0.33941238252679,13559,"recovery","MZ"
78,0.367530147925133,0.339774413470077,12266,"recovery","MZ"
80,0.364353863816737,0.336795054334191,10967,"recovery","MZ"
82,0.357183144619287,0.331000096319965,9776,"recovery","MZ"
84,0.344904766611471,0.319062614434402,8643,"recovery","MZ"
86,0.334696799173422,0.307393832178085,7579,"recovery","MZ"
88,0.321968765853775,0.295026160836511,6559,"recovery","MZ"
90,0.308423385482932,0.285605457936015,5628,"recovery","MZ"
20,0.128339087193514,0.139283151155116,42153,"recovery","DZ"
22,0.130423252511257,0.140317475855886,41446,"recovery","DZ"
24,0.134066421954212,0.142350261009367,40686,"recovery","DZ"
26,0.13817445845165,0.144680929452317,39878,"recovery","DZ"
28,0.142779977163032,0.147405979684225,39147,"recovery","DZ"
30,0.144184104371108,0.147780829070299,38352,"recovery","DZ"
32,0.149769355692018,0.151580748371182,37564,"recovery","DZ"
34,0.154370407651541,0.154472117865513,36781,"recovery","DZ"
36,0.156228128493411,0.155430452829178,35957,"recovery","DZ"
38,0.158399107724897,0.156086404438215,35086,"recovery","DZ"
40,0.162457233023858,0.158598177591962,34216,"recovery","DZ"
42,0.163165269853956,0.157919168594498,33315,"recovery","DZ"
44,0.162201142654114,0.156242152014294,32337,"recovery","DZ"
46,0.167489056801446,0.160025035779492,31328,"recovery","DZ"
48,0.170142414338127,0.161317217677243,30294,"recovery","DZ"
50,0.171570625519573,0.161962200185168,29274,"recovery","DZ"
52,0.171187208413133,0.160502444753226,28127,"recovery","DZ"
54,0.169038197005532,0.157334095599069,26964,"recovery","DZ"
56,0.172569802952419,0.159697970775883,25792,"recovery","DZ"
58,0.171740078677585,0.157857187268772,24470,"recovery","DZ"
60,0.175416924568578,0.161265983372886,23169,"recovery","DZ"
62,0.169862233172081,0.154969480731654,21857,"recovery","DZ"
64,0.166806861962998,0.151182341550439,20476,"recovery","DZ"
66,0.165523248303945,0.149233902637177,19083,"recovery","DZ"
68,0.169823959484928,0.154624414315625,17621,"recovery","DZ"
70,0.161003368108699,0.14413727077587,16160,"recovery","DZ"
72,0.152526426191334,0.134122826476308,14693,"recovery","DZ"
74,0.151283962109555,0.132686535599287,13249,"recovery","DZ"
76,0.146378125353916,0.127855703633184,11968,"recovery","DZ"
78,0.144335499237761,0.126076497359747,10636,"recovery","DZ"
80,0.133925095467665,0.114003527859484,9402,"recovery","DZ"
82,0.144814399452025,0.127889322877067,8144,"recovery","DZ"
84,0.145230546893424,0.130215091884768,6952,"recovery","DZ"
86,0.133180477109387,0.11765517716941,5964,"recovery","DZ"
88,0.134916858413927,0.121702980035552,5026,"recovery","DZ"
90,0.140492872581002,0.129514823949026,4181,"recovery","DZ"
